Token ID,Coefficient
372,-0.5161257690667604
373,-0.0
374,-0.5300765477079113
375,-0.0
376,-0.0
377,-0.0
378,-0.0
379,-0.0
380,-0.0
381,-0.8049447767273538
382,-1.3637295748155782
383,-0.0
384,-0.0
385,-0.0
386,-0.0
387,-1.0044868219116354
388,-0.5944072185335476
389,-0.025052670367409536
390,-0.0
391,-0.0
392,-0.047439077525786064
393,-0.0
394,-0.0
395,-0.5124093887058341
396,-0.5466347662182849
397,-0.009306432035319901
398,-0.0
399,-0.0
400,-0.0
401,-0.0
402,-0.0
403,-0.0
404,-0.0
405,-0.0
406,-0.0
407,-0.0
408,-0.0
409,-2.0162294868873847
410,-0.15061672216432515
411,-0.0
412,-0.0
413,-0.0
414,-0.0
415,-0.9283328174036574
416,-0.0
417,-0.0
418,-0.0
419,-0.6401145723047479
420,-0.0
421,-0.0
422,-0.0
423,-0.0
424,-0.0
425,-0.0
426,0.0
427,-4.550292259782303
428,-0.0
429,-0.0
430,-1.6707590589454666
431,-0.6988013409412426
432,-0.0
433,-0.22787388838456932
434,-0.0
435,-0.0
436,-4.450475954929582
437,-0.0
438,-0.0
439,-0.0
440,-0.0
441,-1.0262353042636891
442,-4.065421371529223
443,-2.0784360752359805
444,-0.34811410526475867
445,-0.6563296608401
446,-0.45715133199466623
447,-0.1033414614381302
448,-0.0
449,-0.0
450,-1.238929736751705
451,-0.0
452,-0.0
453,-0.29299898021448595
454,-0.0
455,-0.0
456,-1.1053777895553982
457,-1.0370066541807956
458,-0.0
459,-1.82941587184174
460,-0.0
461,-0.0
462,-0.0
463,-1.8105931108205113
464,-0.0
465,-0.0
466,-0.0
467,-0.7383513446120141
468,-0.0
469,-0.0
470,-0.0
471,-0.0
472,-0.8457504019141449
473,-0.0
474,-0.0
475,-0.0
476,-0.0
477,-0.0428309389885924
478,-1.2047926126980388
479,-0.0
480,-1.0779784013289198
481,-0.0016114214285955276
482,-1.2983861007388922
483,-0.0
484,-0.2124514306486575
485,-0.0
486,-0.973697325103778
487,-0.0
488,-0.0
489,-0.0
490,-5.185062180065016
491,-0.0
492,-0.0
493,-0.0
494,-0.0
495,-0.3060565250788597
496,-0.0
497,-0.0
498,-0.0
499,-0.0
500,-0.0
501,-0.0
502,-0.7710298702857747
503,-0.09141349532771455
504,-0.0
505,-0.0
506,-0.4521261763705401
507,-0.0
508,-0.0
509,-0.0
510,-0.2159465030123843
511,-0.0
512,-0.0
513,-0.0
514,-0.0
515,-0.0
516,-0.0
517,-0.0
518,-0.8507899488642459
519,-0.0
520,-0.0
521,-0.16675826579414538
522,-0.22366174525461105
523,-0.10303094222283835
524,-0.08755966564302288
525,-0.8792617361672503
526,-0.08784055691950107
527,-0.0
